Model Name,Matching Word,Downloads,created_at,last_modified,contains_paper,paper_code,paper_code_clean
Salesforce/codet5p-110m-embedding,codegen,314358,2023-07-18 09:52:49,2023-07-18 09:52:49,True,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922
microsoft/Phi-3.5-mini-instruct,code generation,368764,2024-08-16 20:48:26,2024-08-16 20:48:26,True,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219
unsloth/Phi-3.5-mini-instruct-bnb-4bit,code generation,62430,2024-08-20 23:29:36,2024-08-20 23:29:36,True,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219
microsoft/Phi-3.5-MoE-instruct,code generation,44775,2024-08-17 21:34:19,2024-08-17 21:34:19,True,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219
NousResearch/Hermes-3-Llama-3.1-8B,code generation,44650,2024-07-28 06:00:57,2024-07-28 06:00:57,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
smallcloudai/Refact-1_6B-fim,codegen,36258,2023-08-29 15:48:36,2023-08-29 15:48:36,True,arxiv,
nvidia/Mistral-NeMo-Minitron-8B-Base,code generation,17591,2024-08-19 21:39:52,2024-08-19 21:39:52,True,report](https://arxiv.org/abs/2408.11796),https://arxiv.org/abs/2408.11796
m-a-p/OpenCodeInterpreter-DS-6.7B,code generation,16728,2024-02-19 05:25:15,2024-02-19 05:25:15,True,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658
Salesforce/codet5p-220m-bimodal,codegen,16258,2023-07-19 13:39:52,2023-07-19 13:39:52,True,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922
unsloth/Phi-3.5-mini-instruct,code generation,14136,2024-08-20 20:19:32,2024-08-20 20:19:32,True,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219
NousResearch/Hermes-3-Llama-3.1-8B-GGUF,code generation,12701,2024-08-05 04:56:41,2024-08-05 04:56:41,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
Salesforce/codet5p-220m,code generation,9546,2023-05-13 10:34:57,2023-05-13 10:34:57,True,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922
NousResearch/Hermes-3-Llama-3.1-70B,code generation,7473,2024-07-29 14:27:57,2024-07-29 14:27:57,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
Deci/DeciCoder-1b,code generation,7254,2023-08-16 14:52:10,2023-08-16 14:52:10,True,2023](https://arxiv.org/abs/2305.13245),https://arxiv.org/abs/2305.13245
tokyotech-llm/Llama-3-Swallow-8B-v0.1,code generation,6842,2024-05-20 06:36:00,2024-05-20 06:36:00,True,Corpus](https://arxiv.org/abs/2404.17733),https://arxiv.org/abs/2404.17733
Salesforce/codet5p-770m,code generation,6431,2023-05-13 13:34:17,2023-05-13 13:34:17,True,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922
ibm-granite/granite-3b-code-base-2k,code generation,5674,2024-04-23 03:59:34,2024-04-23 03:59:34,True,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324
ibm-granite/granite-20b-code-base-8k,code generation,5412,2024-04-21 07:49:56,2024-04-21 07:49:56,True,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324
QuantFactory/Phi-3.5-mini-instruct-GGUF,code generation,5018,2024-08-21 01:19:18,2024-08-21 01:19:18,True,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219
NousResearch/Hermes-3-Llama-3.1-405B-FP8,code generation,4782,2024-08-13 01:21:28,2024-08-13 01:21:28,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
ibm-granite/granite-8b-code-base-4k,code generation,4595,2024-04-21 07:50:41,2024-04-21 07:50:41,True,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324
NousResearch/Hermes-3-Llama-3.1-70B-GGUF,code generation,4440,2024-08-06 00:51:45,2024-08-06 00:51:45,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
NousResearch/Hermes-3-Llama-3.1-405B,code generation,4012,2024-08-13 04:57:53,2024-08-13 04:57:53,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
RichardErkhov/nvidia_-_Mistral-NeMo-Minitron-8B-Base-gguf,code generation,3821,2024-08-22 20:35:50,2024-08-22 20:35:50,True,report](https://arxiv.org/abs/2408.11796),https://arxiv.org/abs/2408.11796
TheBloke/tulu-7B-fp16,code generation,3640,2023-06-10 23:49:12,2023-06-10 23:49:12,True,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751
ibm-granite/granite-8b-code-instruct-128k,code generation,3462,2024-07-12 16:47:49,2024-07-12 16:47:49,True,Context](https://arxiv.org/abs/2407.13739),https://arxiv.org/abs/2407.13739
ibm/PowerLM-3b,code generation,3471,2024-08-14 18:20:58,2024-08-14 18:20:58,True,https://arxiv.org/abs/2408.13359,https://arxiv.org/abs/2408.13359
